scenario,config,rep,avg_jct,tail_jct_p95,max_jct,min_jct,makespan,avg_ilt
12_normal,default,0,56.2458333333321,92.74999999999687,98.79999999999653,17.20000000000011,98.79999999999653,0.05
12_normal,custom_baseline,0,53.54999999999874,94.59999999999677,100.39999999999644,7.99999999999998,100.39999999999644,1.0227272727272763
12_normal,custom_adaptive,0,46.54999999999891,100.09999999999646,101.74999999999636,7.049999999999983,101.74999999999636,3.336363636363636
12_normal,reversed,0,62.404166666665226,95.29999999999673,100.74999999999642,26.600000000000243,100.74999999999642,1.0227272727272763
12_normal,default,1,69.10833333333154,94.1499999999968,97.09999999999663,40.29999999999985,97.09999999999663,0.05454545454545455
12_normal,custom_baseline,1,65.8958333333317,95.24999999999673,97.89999999999658,26.35000000000024,97.89999999999658,1.0227272727272763
12_normal,custom_adaptive,1,49.912499999998985,89.84999999999704,91.59999999999694,13.600000000000058,91.59999999999694,4.395454545454485
12_normal,reversed,1,75.42916666666453,97.14999999999662,101.24999999999639,52.09999999999918,101.24999999999639,1.0227272727272763
12_normal,default,2,51.70833333333236,75.64999999999785,100.04999999999646,21.150000000000166,100.04999999999646,0.0590909090909091
12_normal,custom_baseline,2,49.220833333332315,77.29999999999775,101.0499999999964,15.050000000000079,101.0499999999964,1.0227272727272763
12_normal,custom_adaptive,2,41.77499999999919,84.64999999999733,97.19999999999662,9.650000000000002,97.19999999999662,3.622727272727256
12_normal,reversed,2,58.01249999999883,77.04999999999777,102.8499999999963,29.350000000000282,102.8499999999963,1.0227272727272763
12_normal,default,3,55.41666666666559,96.99999999999663,98.79999999999653,20.70000000000016,98.79999999999653,0.05
12_normal,custom_baseline,3,52.94166666666568,97.69999999999659,100.29999999999644,14.600000000000072,100.29999999999644,1.0227272727272763
12_normal,custom_adaptive,3,42.67083333333256,89.19999999999708,99.2999999999965,9.5,99.2999999999965,3.1727272727272817
12_normal,reversed,3,61.80833333333196,100.69999999999642,100.94999999999641,31.30000000000031,100.94999999999641,1.0227272727272763
12_normal,default,4,64.8208333333317,97.34999999999661,97.39999999999661,18.800000000000132,97.39999999999661,0.045454545454545456
12_normal,custom_baseline,4,62.079166666665124,98.39999999999655,98.99999999999652,12.30000000000004,98.99999999999652,1.0227272727272763
12_normal,custom_adaptive,4,51.3083333333321,93.79999999999681,104.39999999999621,8.79999999999999,104.39999999999621,3.954545454545419
12_normal,reversed,4,71.09999999999808,98.04999999999657,100.19999999999645,28.950000000000276,100.19999999999645,1.0227272727272763
48_normal,default,0,335.1781250000425,505.2000000000806,509.1500000000815,94.0999999999968,509.1500000000815,0.013829787234042554
48_normal,custom_baseline,0,290.7281250000365,484.75000000007594,488.70000000007684,10.25000000000001,488.70000000007684,1.0234042553191351
48_normal,custom_adaptive,0,175.44479166668467,411.0000000000592,415.6000000000602,8.09999999999998,415.6000000000602,4.822340425532287
48_normal,reversed,0,356.0218750000467,506.5000000000809,509.3000000000815,135.59999999999658,509.3000000000815,1.0234042553191351
