scenario,config,rep,job_id,jct
12_normal,reversed,1,io_intensive-05b3a3c7,68.99999999999822
12_normal,reversed,1,io_intensive-5a4d577f,69.3999999999982
12_normal,reversed,1,io_intensive-68371ccf,74.7499999999979
12_normal,reversed,1,io_intensive-aae743dc,76.74999999999778
12_normal,reversed,1,heavy-015814fe,86.49999999999723
12_normal,reversed,1,heavy-76c94d9f,90.94999999999698
12_normal,reversed,1,slow_converging-0f1d17ae,97.14999999999662
12_normal,reversed,1,slow_converging-99a9125c,101.24999999999639
12_normal,default,2,light-02643643,21.150000000000166
12_normal,default,2,light-004c172c,23.100000000000193
12_normal,default,2,light-eb13d35a,24.800000000000217
12_normal,default,2,light-c7f0f591,30.300000000000296
12_normal,default,2,light-6433b315,33.00000000000026
12_normal,default,2,io_intensive-8f787e9f,50.69999999999926
12_normal,default,2,io_intensive-9e9524d1,53.14999999999912
12_normal,default,2,io_intensive-0c7973bc,61.14999999999866
12_normal,default,2,slow_converging-11937e90,73.14999999999799
12_normal,default,2,heavy-8f9f8813,74.29999999999792
12_normal,default,2,heavy-6e9fc361,75.64999999999785
12_normal,default,2,slow_converging-d1fbbc0c,100.04999999999646
12_normal,custom_baseline,2,light-eb13d35a,15.050000000000079
12_normal,custom_baseline,2,light-004c172c,17.15000000000011
12_normal,custom_baseline,2,light-02643643,17.25000000000011
12_normal,custom_baseline,2,light-c7f0f591,18.950000000000134
12_normal,custom_baseline,2,light-6433b315,30.050000000000292
12_normal,custom_baseline,2,io_intensive-8f787e9f,51.449999999999214
12_normal,custom_baseline,2,io_intensive-9e9524d1,51.89999999999919
12_normal,custom_baseline,2,io_intensive-0c7973bc,60.64999999999869
12_normal,custom_baseline,2,slow_converging-11937e90,73.74999999999795
12_normal,custom_baseline,2,heavy-8f9f8813,76.09999999999782
12_normal,custom_baseline,2,heavy-6e9fc361,77.29999999999775
12_normal,custom_baseline,2,slow_converging-d1fbbc0c,101.0499999999964
12_normal,custom_adaptive,2,light-eb13d35a,9.650000000000002
12_normal,custom_adaptive,2,light-004c172c,10.350000000000012
12_normal,custom_adaptive,2,light-02643643,10.400000000000013
12_normal,custom_adaptive,2,light-c7f0f591,11.100000000000023
12_normal,custom_adaptive,2,light-6433b315,21.250000000000167
12_normal,custom_adaptive,2,io_intensive-9e9524d1,35.65000000000011
12_normal,custom_adaptive,2,io_intensive-8f787e9f,36.25000000000008
12_normal,custom_adaptive,2,io_intensive-0c7973bc,43.64999999999966
12_normal,custom_adaptive,2,slow_converging-11937e90,63.69999999999852
12_normal,custom_adaptive,2,heavy-8f9f8813,77.44999999999774
12_normal,custom_adaptive,2,heavy-6e9fc361,84.64999999999733
12_normal,custom_adaptive,2,slow_converging-d1fbbc0c,97.19999999999662
12_normal,reversed,2,light-02643643,29.350000000000282
12_normal,reversed,2,light-004c172c,33.650000000000226
12_normal,reversed,2,light-eb13d35a,35.55000000000012
12_normal,reversed,2,light-6433b315,41.0999999999998
12_normal,reversed,2,light-c7f0f591,42.04999999999975
12_normal,reversed,2,io_intensive-8f787e9f,55.09999999999901
12_normal,reversed,2,io_intensive-9e9524d1,59.79999999999874
12_normal,reversed,2,io_intensive-0c7973bc,66.84999999999835
12_normal,reversed,2,heavy-6e9fc361,76.3499999999978
12_normal,reversed,2,heavy-8f9f8813,76.4499999999978
12_normal,reversed,2,slow_converging-11937e90,77.04999999999777
12_normal,reversed,2,slow_converging-d1fbbc0c,102.8499999999963
12_normal,default,3,light-4177fc75,20.70000000000016
12_normal,default,3,light-44555702,36.150000000000084
12_normal,default,3,light-8f364d21,38.54999999999995
12_normal,default,3,light-a481238d,43.59999999999966
12_normal,default,3,light-fb430796,44.09999999999963
12_normal,default,3,io_intensive-e10fc17e,45.999999999999524
12_normal,default,3,io_intensive-d0994200,46.94999999999947
12_normal,default,3,io_intensive-7b47057c,50.399999999999274
12_normal,default,3,heavy-6f8b53db,66.29999999999838
12_normal,default,3,heavy-9b892a15,76.4499999999978
12_normal,default,3,slow_converging-dbc024ae,96.99999999999663
12_normal,default,3,slow_converging-64f81fed,98.79999999999653
12_normal,custom_baseline,3,light-4177fc75,14.600000000000072
12_normal,custom_baseline,3,light-8f364d21,29.400000000000283
12_normal,custom_baseline,3,light-44555702,31.850000000000318
12_normal,custom_baseline,3,light-a481238d,32.450000000000294
12_normal,custom_baseline,3,light-fb430796,41.44999999999978
12_normal,custom_baseline,3,io_intensive-e10fc17e,44.399999999999615
12_normal,custom_baseline,3,io_intensive-d0994200,46.499999999999496
12_normal,custom_baseline,3,io_intensive-7b47057c,50.899999999999245
12_normal,custom_baseline,3,heavy-6f8b53db,67.44999999999831
12_normal,custom_baseline,3,heavy-9b892a15,78.2999999999977
12_normal,custom_baseline,3,slow_converging-dbc024ae,97.69999999999659
12_normal,custom_baseline,3,slow_converging-64f81fed,100.29999999999644
12_normal,custom_adaptive,3,light-4177fc75,9.5
12_normal,custom_adaptive,3,light-8f364d21,14.45000000000007
12_normal,custom_adaptive,3,light-44555702,15.350000000000083
12_normal,custom_adaptive,3,light-a481238d,15.600000000000087
12_normal,custom_adaptive,3,light-fb430796,24.550000000000214
12_normal,custom_adaptive,3,io_intensive-e10fc17e,30.300000000000296
