repetition,jobs,score_pearson,spearman_rho,kendall_tau_b,exact_order_match,jobs_with_changed_position,mean_absolute_position_shift,maximum_position_shift,top3_overlap
0,12,0.965182879037679,0.951048951048951,0.8484848484848485,False,8,0.8333333333333334,2,2
1,12,0.9539960560632238,0.9440559440559441,0.8484848484848485,False,8,0.8333333333333334,3,2
2,12,0.9486622992340777,0.9790209790209791,0.9090909090909091,False,6,0.5,1,3
3,12,0.9274370168240668,0.8601398601398601,0.7272727272727273,False,8,1.3333333333333333,4,3
4,12,0.9265273350893863,0.8741258741258742,0.7575757575757576,False,4,1.0,3,3
