repetition,baseline_avg_jct,kubeml_avg_jct,baseline_p95_jct,kubeml_p95_jct,baseline_makespan,kubeml_makespan,improvement_avg_jct,improvement_p95_jct,improvement_makespan
0,31.630413671334583,27.585526605447132,53.32788562774658,52.17965140342712,54.8582181930542,52.65607738494873,12.78796764379081,2.1531591039154785,4.014240492383126
1,29.5891215801239,28.606534759203594,52.681618940830234,52.809894549846646,54.10615944862366,53.81091618537903,3.32077050094095,-0.24349215456056222,0.5456740346262726
2,31.44425352414449,30.073360204696655,54.9378898859024,54.69978367090225,57.07537817955017,56.42874884605408,4.3597578756169,0.4334098297088974,1.1329392009666577
3,32.714011669158936,29.713319996992748,53.829867756366724,55.17033342123032,55.90836787223816,55.45470070838928,9.172496795906822,-2.4901894073574984,0.8114476975711354
4,29.855462511380512,27.79748684167862,49.70273805856704,51.489275014400484,54.897568702697754,51.67561721801758,6.893129419507131,-3.5944437381463397,5.8690240038295975
